ET;uADR;SBUS;DBUS;ALU;RBUS;MEM;OTHER;SUCCESSOR
IF;0;PdPC;Pd0;SUM;PmADR;IFCH;+2PC;IF ACLOW JUMP POWER_FAIL ELSE STEP
;1;NONE;NONE;NONE;NONE;NOP;NOP;IF CIL JUMP ILLEGAL ELSE STEP
;2;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI B1(INDEX1)
B1;3;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI FOSAM(INDEX2)
B2;4;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI FODAM(INDEX3)
B3;5;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI BR(INDEX6)
B4;6;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI CLC(INDEX7)
FOSAM;7;PdPC;Pd0;SUM;PmADR;READ;+2PC;STEP
;8;PdMDR;Pd0;SUM;PmT;NOP;NOP;JUMPI FODAM(INDEX3)
FOSAD;9;PdRG;Pd0;SUM;PmT;NOP;NOP;STEP
;A;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI FODAM(INDEX3)
FOSAI;B;PdRG;Pd0;SUM;PmADR;READ;NOP;STEP
;C;PdMDR;Pd0;SUM;PmT;NOP;NOP;JUMPI FODAM(INDEX3)
FOSAX;D;PdPC;Pd0;SUM;PmADR;READ;+2PC;STEP
;E;PdRG;PdMDR;SUM;PmADR;READ;NOP;STEP
;F;PdMDR;Pd0;SUM;PmT;NOP;NOP;JUMPI FODAM(INDEX3)
FODAM;10;PdPC;Pd0;SUM;PmADR;READ;+2PC;JUMP CLASS_TEST
FODAD;11;Pd0;PdRG;SUM;PmMDR;NOP;NOP;JUMP CLASS_TEST
FODAI;12;Pd0;PdRG;SUM;PmADR;READ;NOP;JUMP CLASS_TEST
FODAX;13;PdPC;Pd0;SUM;PmADR;READ;+2PC;STEP
;14;PdMDR;PdRG;SUM;PmADR;READ;NOP;STEP
CLASS_TEST;15;NONE;NONE;NONE;NONE;NOP;NOP;IF B1 JUMPI MOV(INDEX4) ELSE STEP
;16;NONE;NONE;NONE;NONE;NOP;NOP;JUMPI CLR(INDEX5)
MOV;17;PdT;Pd0;SUM;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;18;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
ADD;19;PdT;PdMDR;SUM;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;1A;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
SUB;1B;PdNT;PdMDR;SUM;PmMDR;NOP;(Cin, PdCOND);IF NAD JUMP WRITE_MEM ELSE STEP
;1C;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
CMP;1D;PdNT;PdMDR;SUM;PmMDR;NOP;(Cin, PdCOND);JUMP INTR_TEST
;1E;NONE;NONE;NONE;NONE;NOP;NOP;NONE
AND;1F;PdT;PdMDR;AND;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;20;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
OR;21;PdT;PdMDR;OR;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;22;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
XOR;23;PdT;PdMDR;XOR;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;24;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
CLR;25;Pd0;Pd0;SUM;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;26;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
NEG;27;PdMDR;NONE;NSBUS;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;28;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
INC;29;PdMDR;NONE;SUM;PmMDR;NOP;(Cin, PdCOND);IF NAD JUMP WRITE_MEM ELSE STEP
;2A;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
 DEC;2B;PdMDR;Pd-1;SUM;PmMDR;NOP;PdCOND;IF NAD JUMP WRITE_MEM ELSE STEP
;2C;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
ASL;2D;PdMDR;NONE;ASL;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;2E;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
ASR;2F;PdMDR;NONE;ASR;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;30;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
LSR;31;PdMDR;NONE;LSR;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;32;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
ROL;33;PdMDR;NONE;ROL;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;34;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
ROR;35;PdMDR;NONE;ROR;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;36;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
RLC;37;PdMDR;NONE;RLC;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;38;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
RRC;39;PdMDR;NONE;RRC;PmMDR;NOP;NOP;IF NAD JUMP WRITE_MEM ELSE STEP
;3A;PdMDR;Pd0;SUM;PmRG;NOP;NOP;JUMP INTR_TEST
JMP;3B;PdMDR;Pd0;SUM;PmPC;NOP;NOP;JUMP INTR_TEST
